latitude,unit,fuel,ave_marg_damages_isrm_LePeule,longitude,zone,status,tech,node,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.2925,Existing Oil 1,Oil,72.79641688,-72.7942,CT,Existing,Oil,6,-1.82E-12,-1.64E-10,-4.72E-09,MO OPOI-MO
41.3367,Existing Oil 151,Oil,133.6953449,-72.02,CT,Existing,Oil,6,-7.11E-15,-3.10E-12,-3.18E-10,MO OPOI-MO
41.3469,Existing Oil 155,Oil,133.6953449,-72.0411,CT,Existing,Oil,6,-6.22E-15,-3.26E-12,-2.93E-10,MO OPOI-MO
41.362778,Existing Oil 149,Oil,133.6953449,-72.0825,CT,Existing,Oil,6,4.44E-15,2.05E-12,1.76E-10,MO OPOI-MO
41.4281,Existing Oil 4,Oil,131.7203012,-72.1019,CT,Existing,Oil,6,-24.7859656,-2230.736904,-116279.8291,MO OPOI-MO
41.554944,Existing Oil 7,Oil,19.18844466,-72.579075,CT,Existing,Oil,6,-20.71236326,-1864.112694,-14155.17541,MO OPOI-MO
41.5683,Existing Oil 154,Oil,133.6953449,-72.2322,CT,Existing,Oil,6,3.55E-15,1.95E-12,1.18E-10,MO OPOI-MO
41.5694,Existing Oil 153,Oil,133.6953449,-72.1175,CT,Existing,Oil,6,7.99E-15,3.41E-12,3.97E-10,MO OPOI-MO
41.7694,Existing Oil 27,Oil,7.809595005,-70.5097,SEMA,Existing,Oil,8,-56.64021559,-9115.883988,-31478.71381,MO OPOI-MO
43.0978,Existing Coal 46,Coal,20.39510344,-70.7842,NH,Existing,Coal,2,-5.662478142,-509.6230328,-4113.185328,MO OPOI-MO
43.0978,Existing Oil 47,Oil,20.39510344,-70.7842,NH,Existing,Oil,2,-21.2,-1908,-15399.53476,MO OPOI-MO
43.1,Existing Oil 67,Oil,13.74748878,-70.790833,NH,Existing,Oil,2,-400,-36000,-195852.5328,MO OPOI-MO
43.1411,Existing Oil 45,Oil,105.4654119,-71.4692,NH,Existing,Oil,2,-4.55E-13,-4.09E-11,-1.71E-09,MO OPOI-MO
43.7508,Existing Oil 17,Oil,44.16033273,-70.1567,ME,Existing,Oil,1,-74.80398349,-6732.358515,-117652.9686,MO OPOI-MO
