latitude,unit,fuel,ave_marg_damages_isrm_LePeule,longitude,zone,status,tech,node,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.2925,Existing Oil 1,Oil,72.79641688,-72.7942,CT,Existing,Oil,6,-1.8189894035458565e-12,-1.637090463191268e-10,-4.716132516059666e-09,MO OPOI-MO
41.3367,Existing Oil 151,Oil,133.6953449,-72.02,CT,Existing,Oil,6,-7.105427357601002e-15,-3.0997426847534354e-12,-3.182690125944481e-10,MO OPOI-MO
41.3469,Existing Oil 155,Oil,133.6953449,-72.0411,CT,Existing,Oil,6,-6.217248937900877e-15,-3.2596148002994588e-12,-2.9342672804777595e-10,MO OPOI-MO
41.362778,Existing Oil 149,Oil,133.6953449,-72.0825,CT,Existing,Oil,6,4.440892098500626e-15,2.0516921495072885e-12,1.7579981266048596e-10,MO OPOI-MO
41.4281,Existing Oil 4,Oil,131.7203012,-72.1019,CT,Existing,Oil,6,-24.78596560411041,-2230.7369043699327,-116279.82913129152,MO OPOI-MO
41.554944,Existing Oil 7,Oil,19.18844466,-72.579075,CT,Existing,Oil,6,-20.712363261347164,-1864.1126935212415,-14155.175406739123,MO OPOI-MO
41.5683,Existing Oil 154,Oil,133.6953449,-72.2322,CT,Existing,Oil,6,3.552713678800501e-15,1.9451107391432735e-12,1.175634938233262e-10,MO OPOI-MO
41.5694,Existing Oil 153,Oil,133.6953449,-72.1175,CT,Existing,Oil,6,7.993605777301127e-15,3.4061642395499787e-12,3.9748026405270015e-10,MO OPOI-MO
41.7694,Existing Oil 27,Oil,7.809595005,-70.5097,SEMA,Existing,Oil,8,-56.64021559213717,-9115.883988159672,-31478.713810787216,MO OPOI-MO
43.0978,Existing Coal 46,Coal,20.39510344,-70.7842,NH,Existing,Coal,2,-5.662478142019822,-509.6230327817831,-4113.185328310528,MO OPOI-MO
43.0978,Existing Oil 47,Oil,20.39510344,-70.7842,NH,Existing,Oil,2,-21.2,-1907.9999999999964,-15399.53475724726,MO OPOI-MO
43.1,Existing Oil 67,Oil,13.74748878,-70.790833,NH,Existing,Oil,2,-400.0,-35999.999999999935,-195852.53282225016,MO OPOI-MO
43.1411,Existing Coal 44,Coal,105.4654119,-71.4692,NH,Existing,Coal,2,-75.49119792357988,-6794.207813122177,-283564.72037178854,MO OPOI-MO
43.1411,Existing Oil 45,Oil,105.4654119,-71.4692,NH,Existing,Oil,2,-4.547473508864641e-13,-4.09272615797817e-11,-1.7081502074515844e-09,MO OPOI-MO
43.7508,Existing Oil 17,Oil,44.16033273,-70.1567,ME,Existing,Oil,1,-74.8039834949514,-6732.358514545614,-117652.96862757822,MO OPOI-MO
