zone,tech,ave_marg_damages_isrm_LePeule,unit,longitude,node,status,latitude,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
CT,NG-CT,28.3176,New NG-CT 6,-72.7137063,6,New,41.6184324,Gas,-38415.31246,-13250306.85,-148486064.3,MO-SO
CT,Oil,19.18844466,Existing Oil 7,-72.579075,6,Existing,41.554944,Oil,-1740.91511,-156682.3599,-1457735.355,MO-SO
CT,Oil,21.94525142,Existing Oil 3,-73.108976,6,Existing,41.209797,Oil,-2441.602518,-219744.2266,-2947101.691,MO-SO
CT,Oil,49.37634365,Existing Oil 61,-72.904323,6,Existing,41.283997,Oil,-2139.801008,-192582.0907,-4430517.425,MO-SO
CT,Oil,72.79641688,Existing Oil 1,-72.7942,6,Existing,41.2925,Oil,-305.2,-31501,-1304896.317,MO-SO
CT,Oil,131.7203012,Existing Oil 4,-72.1019,6,Existing,41.4281,Oil,-2810.773033,-252969.573,-14853042.34,MO-SO
CT,Oil,133.6953449,Existing Oil 140,-73.5564,6,Existing,41.0372,Oil,-713.3962854,-64748.33233,-5288350.15,MO-SO
CT,Oil,133.6953449,Existing Oil 145,-72.576666,6,Existing,41.554444,Oil,-2962.852312,-266656.7081,-19636331.26,MO-SO
CT,Oil,133.6953449,Existing Oil 146,-73.1075,6,Existing,41.2108,Oil,-2651.896551,-238670.6896,-17898267.79,MO-SO
CT,Oil,133.6953449,Existing Oil 149,-72.0825,6,Existing,41.362778,Oil,-109.2,-10790,-758656.4346,MO-SO
CT,Oil,133.6953449,Existing Oil 150,-72.1022,6,Existing,41.4711,Oil,-218.4,-21580,-1517312.869,MO-SO
CT,Oil,133.6953449,Existing Oil 151,-72.02,6,Existing,41.3367,Oil,-109.2,-10790,-758656.4346,MO-SO
CT,Oil,133.6953449,Existing Oil 152,-71.9825,6,Existing,41.6041,Oil,-54.6,-5395,-379328.2173,MO-SO
CT,Oil,133.6953449,Existing Oil 153,-72.1175,6,Existing,41.5694,Oil,-109.2,-10790,-758656.4346,MO-SO
CT,Oil,133.6953449,Existing Oil 154,-72.2322,6,Existing,41.5683,Oil,-109.2,-10790,-758656.4346,MO-SO
CT,Oil,133.6953449,Existing Oil 155,-72.0411,6,Existing,41.3469,Oil,-109.2,-10790,-758656.4346,MO-SO
CT,Oil,133.6953449,Existing Oil 156,-72.0833,6,Existing,41.5256,Oil,-42,-4150,-291790.9364,MO-SO
CT,Oil,133.6953449,Existing Oil 158,-73.3928,6,Existing,41.1117,Oil,-126,-12450,-875372.8091,MO-SO
CT,Oil,133.6953449,Existing Oil 172,-72.768611,6,Existing,41.691389,Oil,-21,-2075,-145895.4682,MO-SO
CT,Oil,133.6953449,Existing Oil 179,-72.756389,6,Existing,41.483611,Oil,-60.9,-6017.5,-423096.8577,MO-SO
CT,Oil,133.6953449,Existing Oil 181,-72.093611,6,Existing,41.542778,Oil,-218.4,-21580,-1517312.869,MO-SO
CT,Oil,145.0566647,Existing Oil 14,-72.064935,6,Existing,41.52679,Oil,-399,-39425,-3007577.343,MO-SO
CT,Oil,151.8447747,Existing Oil 2,-73.5989,6,Existing,41.0289,Oil,-1464.20652,-140720.2535,-12103052.14,MO-SO
CT,Oil,206.9482785,Existing Oil 6,-73.116267,6,Existing,41.798943,Oil,-356.6963908,-36135.67518,-4132648.223,MO-SO
CT,Oil,242.6216617,Existing Oil 5,-72.041829,6,Existing,41.555425,Oil,-388.5,-38387.5,-4898090.637,MO-SO
CT,Oil,339.9972675,Existing Oil 10,-73.120886,6,Existing,41.776109,Oil,-340.2821517,-34658.39365,-6408082.63,MO-SO
ME,Oil,44.16033273,Existing Oil 17,-70.1567,1,Existing,43.7508,Oil,-831.3057884,-74817.52096,-1307491.784,MO-SO
ME,Oil,133.6953449,Existing Oil 15,-67.0033,1,Existing,44.9136,Oil,-24,-3270,-224779.4685,MO-SO
ME,Oil,133.6953449,Existing Oil 16,-70.2544,1,Existing,43.6436,Oil,-225.8382737,-36205.52528,-2518661.904,MO-SO
ME,Oil,133.6953449,Existing Oil 90,-69.2019,1,Existing,44.3331,Oil,-24,-3270,-224779.4685,MO-SO
NEMA,NG-CT,28.3176,New NG-CT 5,-71.361273,5,New,42.498045,Gas,-98378.12078,-33572544.1,-376221848.9,MO-SO
NH,Coal,20.39510344,Existing Coal 46,-70.7842,2,Existing,43.0978,Coal,-39333.58787,-13946708.66,-167184967.1,MO-SO
NH,Oil,13.74748878,Existing Oil 67,-70.790833,2,Existing,43.1,Oil,-1432.82711,-202954.4399,-1530962.954,MO-SO
