zone,tech,ave_marg_damages_isrm_LePeule,unit,longitude,node,status,latitude,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
CT,NG-CT,28.317600000000002,New NG-CT 6,-72.7137063,6,New,41.6184324,Gas,-38415.31245552804,-13250306.851863042,-148486064.34545878,MO-SO
CT,Oil,19.18844466,Existing Oil 7,-72.579075,6,Existing,41.554944,Oil,-1740.9151096039486,-156682.3598643551,-1457735.3547677072,MO-SO
CT,Oil,21.94525142,Existing Oil 3,-73.108976,6,Existing,41.209797,Oil,-2441.6025179286726,-219744.22661358013,-2947101.6909464654,MO-SO
CT,Oil,49.37634365,Existing Oil 61,-72.904323,6,Existing,41.283997,Oil,-2139.8010076103324,-192582.09068492957,-4430517.4245638,MO-SO
CT,Oil,72.79641688,Existing Oil 1,-72.7942,6,Existing,41.2925,Oil,-305.1999999999981,-31500.99999999941,-1304896.3170092169,MO-SO
CT,Oil,131.7203012,Existing Oil 4,-72.1019,6,Existing,41.4281,Oil,-2810.7730333770164,-252969.57300393106,-14853042.340215722,MO-SO
CT,Oil,133.6953449,Existing Oil 140,-73.5564,6,Existing,41.0372,Oil,-713.3962854178035,-64748.3323296022,-5288350.149955745,MO-SO
CT,Oil,133.6953449,Existing Oil 145,-72.576666,6,Existing,41.554444,Oil,-2962.85231233953,-266656.7081105572,-19636331.25929027,MO-SO
CT,Oil,133.6953449,Existing Oil 146,-73.1075,6,Existing,41.2108,Oil,-2651.896550997804,-238670.68958980194,-17898267.79238697,MO-SO
CT,Oil,133.6953449,Existing Oil 149,-72.0825,6,Existing,41.362778,Oil,-109.20000000000003,-10789.999999999993,-758656.4345643889,MO-SO
CT,Oil,133.6953449,Existing Oil 150,-72.1022,6,Existing,41.4711,Oil,-218.4,-21579.999999999967,-1517312.8691287765,MO-SO
CT,Oil,133.6953449,Existing Oil 151,-72.02,6,Existing,41.3367,Oil,-109.20000000000003,-10789.999999999995,-758656.434564389,MO-SO
CT,Oil,133.6953449,Existing Oil 152,-71.9825,6,Existing,41.6041,Oil,-54.6,-5394.999999999992,-379328.2172821941,MO-SO
CT,Oil,133.6953449,Existing Oil 153,-72.1175,6,Existing,41.5694,Oil,-109.20000000000003,-10789.999999999995,-758656.4345643892,MO-SO
CT,Oil,133.6953449,Existing Oil 154,-72.2322,6,Existing,41.5683,Oil,-109.20000000000002,-10789.999999999993,-758656.4345643889,MO-SO
CT,Oil,133.6953449,Existing Oil 155,-72.0411,6,Existing,41.3469,Oil,-109.20000000000003,-10789.999999999993,-758656.434564389,MO-SO
CT,Oil,133.6953449,Existing Oil 156,-72.0833,6,Existing,41.5256,Oil,-42.0,-4149.999999999994,-291790.9363709185,MO-SO
