tech,node,ave_marg_damages_isrm_LePeule,status,latitude,longitude,zone,unit,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Coal,2,20.39510344,Existing,43.0978,-70.7842,NH,Existing Coal 46,Coal,2071.87485230208,667873.9674377438,6699494.139689498,MO
Coal,2,105.4654119,Existing,43.1411,-71.4692,NH,Existing Coal 44,Coal,5294.543953940605,1639752.864734096,83841966.46214189,MO
Coal,8,60.37583423,Existing,41.7103,-71.1931,SEMA,Existing Coal 29,Coal,3642.53846146623,1149761.540237519,28734442.009231467,MO
NG-CT,5,28.317600000000002,New,42.498045,-71.361273,NEMA,New NG-CT 5,Gas,185001.41668161913,63899511.41547553,728528143.5631648,MO
Oil,1,44.16033273,Existing,43.7508,-70.1567,ME,Existing Oil 17,Oil,7401.093184748782,2220327.960235345,49054071.628722474,MO
Oil,2,13.74748878,Existing,43.1,-70.790833,NH,Existing Oil 67,Oil,4617.796196616211,1392093.354846254,9468756.765358428,MO
Oil,2,20.39510344,Existing,43.0978,-70.7842,NH,Existing Oil 47,Oil,212.0,63600.0001378,634610.4913680055,MO
Oil,2,105.4654119,Existing,43.1411,-71.4692,NH,Existing Oil 45,Oil,74.4,22320.00004836,1060238.4426910833,MO
Oil,4,46.07783098,Existing,42.336215,-73.235486,WCMA,Existing Oil 35,Oil,81.6,24480.00005304,508045.6585302288,MO
Oil,6,19.18844466,Existing,41.554944,-72.579075,CT,Existing Oil 7,Oil,3206.114593581304,961834.3801583656,8371093.649588764,MO
Oil,6,21.94525142,Existing,41.209797,-73.108976,CT,Existing Oil 3,Oil,999.0865929276487,299725.9785277009,2923423.4138180506,MO
Oil,6,49.37634365,Existing,41.283997,-72.904323,CT,Existing Oil 61,Oil,1636.7319652511899,491019.59063923266,10710304.779506128,MO
Oil,6,72.79641688,Existing,41.2925,-72.7942,CT,Existing Oil 1,Oil,43.6,13080.00002834,428861.49087295134,MO
Oil,6,133.6953449,Existing,41.3367,-72.02,CT,Existing Oil 151,Oil,-1.865174681370263e-14,-7.61612995543448e-12,-6.513709824292916e-10,MO
Oil,6,133.6953449,Existing,41.3469,-72.0411,CT,Existing Oil 155,Oil,-1.865174681370263e-14,-8.002487573866013e-12,-6.316988112302808e-10,MO
Oil,6,133.6953449,Existing,41.362778,-72.0825,CT,Existing Oil 149,Oil,-1.7763568394002505e-14,-7.1320727134338565e-12,-5.552253878922735e-10,MO
Oil,6,133.6953449,Existing,41.5683,-72.2322,CT,Existing Oil 154,Oil,-1.7763568394002505e-14,-7.358558214676237e-12,-6.048008354096309e-10,MO
Oil,6,133.6953449,Existing,41.5694,-72.1175,CT,Existing Oil 153,Oil,-1.687538997430238e-14,-7.398526249646764e-12,-6.037474614805298e-10,MO
Oil,8,7.809595005,Existing,41.7694,-70.5097,SEMA,Existing Oil 27,Oil,3652.8443536342866,1164507.0559836037,3696270.855847287,MO
