latitude,zone,fuel,unit,tech,status,node,ave_marg_damages_isrm_LePeule,longitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
36.76479,PJM_Dom,Gas,Existing NG-CC 1164,NG-CC,Existing,4,3.384191279,-77.71313,88486.09665803469,11729433.483290168,26004303.832292184,MO EM190 X5
36.76479,PJM_Dom,Gas,Existing NG-CC 1165,NG-CC,Existing,4,3.332454903,-77.71313,89131.5116003988,11744160.433526265,25638356.1476139,MO EM190 X5
36.76479,PJM_Dom,Gas,Existing NG-CC 1166,NG-CC,Existing,4,3.506924306,-77.71313,68124.29446104002,9712222.370924886,21811577.487994116,MO EM190 X5
36.76479,PJM_Dom,Gas,Existing NG-CC 1167,NG-CC,Existing,4,3.407856829,-77.71313,207476.63894886363,29306121.066886198,59981130.40042013,MO EM190 X5
36.86875,PJM_Dom,Coal,Existing Coal 468,Coal,Existing,4,32.19076745,-78.70482,3759.9999999999945,808399.9999999988,11387842.462059373,MO EM190 X5
36.86875,PJM_Dom,Coal,Existing Coal 469,Coal,Existing,4,30.66096976,-78.70482,3754.0,807110.0,10831007.166296689,MO EM190 X5
37.6961,PJM_Dom,Gas,Existing NG-CC 1110,NG-CC,Existing,4,1.148221329,-78.2848,46579.61568456506,5905075.913395705,4981605.904645408,MO EM190 X5
37.6961,PJM_Dom,Gas,Existing NG-CC 1111,NG-CC,Existing,4,0.910301291,-78.2848,47607.031787350366,5945635.158936748,3979755.050422014,MO EM190 X5
37.6961,PJM_Dom,Gas,Existing NG-CC 1112,NG-CC,Existing,4,1.02926131,-78.2848,106846.59772425256,13965232.988621252,8745476.255687878,MO EM190 X5
37.8669,PJM_Dom,Gas,Existing NG-CC 974,NG-CC,Existing,4,1.375231631,-78.3801,21487.5,2680780.4999999986,3033052.392258775,MO EM190 X5
37.8669,PJM_Dom,Gas,Existing NG-CC 975,NG-CC,Existing,4,1.766282398,-78.3801,20461.269607964776,2671516.3480398227,3882046.926136316,MO EM190 X5
37.8669,PJM_Dom,Gas,Existing NG-CC 976,NG-CC,Existing,4,1.436337517,-78.3801,22447.848354606755,2786751.241773032,3293043.831823113,MO EM190 X5
37.8669,PJM_Dom,Gas,Existing NG-CC 977,NG-CC,Existing,4,1.525950515,-78.3801,143713.2734616779,18365838.00909055,18445771.839107234,MO EM190 X5
37.8824,PJM_West,Gas,Existing NG-CT 8,NG-CT,Existing,9,13.85084452,-84.1025,461.3333331999054,99186.66663797967,693871.9996431762,MO EM190 X5
37.8824,PJM_West,Gas,Existing NG-CT 9,NG-CT,Existing,9,11.67561276,-84.1025,461.33333319999997,99186.666638,584901.5748566241,MO EM190 X5
38.07194,PJM_Dom,Gas,Existing NG-CT 567,NG-CT,Existing,4,5.234635107,-77.51309,899.3333332,193356.666638,511205.3343874874,MO EM190 X5
38.07194,PJM_Dom,Gas,Existing NG-CT 568,NG-CT,Existing,4,5.437898621,-77.51309,893.3333332,192066.666638,527512.6988965535,MO EM190 X5
38.07194,PJM_Dom,Gas,Existing NG-CT 569,NG-CT,Existing,4,5.057132318,-77.51309,893.3333332,192066.666638,490575.8094575488,MO EM190 X5
38.12417,PJM_Dom,Gas,Existing NG-CC 768,NG-CC,Existing,4,6.747324639,-78.2036,2882.6,414728.9999999998,2302177.5496488228,MO EM190 X5
