fuel,zone,ave_marg_damages_isrm_LePeule,unit,longitude,latitude,node,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Coal,PJM_Dom,30.66096976,Existing Coal 469,-78.70482,36.86875,4,Coal,Existing,21168.419496958588,4382729.777583176,81911857.45392469,MO X5
Coal,PJM_Dom,32.19076745,Existing Coal 468,-78.70482,36.86875,4,Coal,Existing,19439.999999999975,4159199.9999999944,80915519.27453515,MO X5
Coal,PJM_West,39.49324355,Existing Coal 424,-83.817613,38.700049,9,Coal,Existing,9339.768515405503,2008050.2308121833,46866525.20156001,MO X5
Coal,PJM_West,41.68817601,Existing Coal 422,-83.817613,38.700049,9,Coal,Existing,9630.0,2070450.0,62917189.929277994,MO X5
Coal,PJM_West,45.84847857,Existing Coal 423,-83.817613,38.700049,9,Coal,Existing,9071.430431289105,1950357.542727158,52401649.08153568,MO X5
Coal,PJM_West,46.76057225,Existing Coal 435,-81.9344,38.9794,9,Coal,Existing,14763.0,3174045.0,122105633.39123203,MO X5
Coal,PJM_West,92.91355026,Existing Coal 412,-84.851009,38.905053,9,Coal,Existing,7800.0,1677000.0,113248012.14157277,MO X5
Coal,PJM_West,134.826744,Existing Coal 421,-83.817613,38.700049,9,Coal,Existing,1320.0,283800.0,31479747.59257716,MO X5
Coal,PJM_West,139.8577554,Existing Coal 165,-80.6486,40.2522,9,Coal,Existing,1439.9999999999745,309599.9999999945,35622985.13219428,MO X5
Gas,PJM_AP,0.466590209,Existing NG-CT 946,-81.3636,39.3331,1,NG-CT,Existing,171.7,36915.5,14170.565441633473,MO X5
Gas,PJM_AP,0.975389303,Existing NG-CC 1043,-78.17795,38.97014,1,NG-CC,Existing,101343.55243670964,17189670.75369089,10769062.753820084,MO X5
Gas,PJM_AP,1.187291644,Existing NG-CC 1045,-78.17795,38.97014,1,NG-CC,Existing,233412.32855935118,38384590.626551956,27419075.91499003,MO X5
Gas,PJM_AP,1.269545686,Existing NG-CC 1044,-78.17795,38.97014,1,NG-CC,Existing,99193.03497192705,16995796.930167913,13863163.243305435,MO X5
Gas,PJM_AP,1.316939942,Existing NG-CC 1042,-78.17795,38.97014,1,NG-CC,Existing,97012.29484940821,16425533.153752292,13950264.600550354,MO X5
Gas,PJM_AP,3.192184906,Existing NG-CC 988,-79.9181,39.8589,1,NG-CC,Existing,17052.0,2582159.999999999,6781316.160963348,MO X5
Gas,PJM_AP,3.348843429,Existing NG-CC 990,-79.91815,39.85905,1,NG-CC,Existing,95682.178251345,14485550.627642522,31147215.59034986,MO X5
